GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,com.example.library,LibraryApplication,5,3,0,0,2,1,1,1,1,1
library,com.example.library.mapper,AuthorMapperImpl,32,3,4,0,11,1,4,1,2,1
library,com.example.library.mapper,BookMapperImpl,4,59,2,2,2,16,2,3,0,3
library,com.example.library.mapper,BookMapper,6,37,4,4,1,11,4,3,0,3
library,com.example.library.dto.request,AuthorRequestDTO,75,0,14,0,2,0,14,0,7,0
library,com.example.library.dto.request,BookRequestDTO,15,31,0,0,1,6,1,9,1,9
library,com.example.library.controller,BookController,6,22,0,0,1,5,1,3,1,3
library,com.example.library.controller,CategoryController,0,3,0,0,0,1,0,1,0,1
library,com.example.library.controller,AuthorController,19,10,0,0,3,4,2,2,2,2
library,com.example.library.service.serviceimpl,BookServiceImpl,28,61,0,0,8,21,2,4,2,4
library,com.example.library.service.serviceimpl,AuthorServiceImpl,52,13,0,0,15,5,2,2,2,2
library,com.example.library.service.serviceimpl,CategoryServiceImpl,3,0,0,0,1,0,1,0,1,0
library,com.example.library.dto.response,AuthorResponseDTO,26,0,0,0,5,0,6,0,6,0
library,com.example.library.dto.response,ApiResponse.ApiResponseBuilder,20,37,1,1,0,1,3,5,2,5
library,com.example.library.dto.response,ApiResponse,0,33,0,0,0,5,0,7,0,7
library,com.example.library.dto.response,BookResponseDTO,18,38,0,0,1,7,1,11,1,11
library,com.example.library.model,Author,16,10,0,0,2,3,3,3,3,3
library,com.example.library.model,Category,23,3,0,0,4,1,5,1,5,1
library,com.example.library.model,Book,27,39,0,0,1,8,2,10,2,10
